title,description,price,curriculum,instructor
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.",Free,Improving Real World RAG System,"Dipanjan Sarkar - Head of Community and Principal AI Scientist, Analytics Vidhya"
Framework to Choose the Right LLM for your Business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.",Free,"Introduction,It's an LLM World!,Understand Your Business,Framework to,Choose the Right LLM,Case Studies,,Conclusion","Rohan Rao - Principal Data Scientist, H2O.ai; Quadruple Kaggle Grandmaster"
Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.",Free,"
Course Overview,An Alternative to Transformers,Understanding State Space Models,Mamba - A Selective State Space Model","Maarten Grootendorst - Senior Clinical Data Scientist, IKNL; Creator of KeyBERT and BERTopic"
Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.",Free,"
Introduction to Generative AI,
Text Generation Using Generative AI,
Image Generation Using Generative AI ","Apoorv Vishnoi, Head - Training Vertical, Analytics Vidhya"
Building LLM Applications using Prompt Engineering - Free Course,"This free course offers a comprehensive guide on building LLM applications, mastering prompt engineering, implementing best practices, and developing chatbots using enterprise data using advanced techniques like few-shot or one-shot prompting",Free,"
How to build diffferent LLM AppIications?,
Getting Started with Prompt Engineering,
Understanding Different Prompt Engineering Techniques","Kunal Jain, Founder & CEO, Analytics Vidhya"
Building Your First Computer Vision Model - Free Course,"This course will help you gain a deep understanding of Computer Vision and build advanced CV models using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming a Computer Vision expert. Master the techniques to build convolutional neural networks, and classify images.",Free,Introduction to Computer Vision,"Apoorv Vishnoi, Head - Training Vertical, Analytics Vidhya"
Bagging and Boosting ML Algorithms - Free Course,"This course will provide you with a hands-on understanding of Bagging and Boosting techniques in machine learning. By the end of the course, you will be proficient in implementing and tuning these ensemble methods to enhance model performance. You'll learn to apply algorithms like Random Forest, AdaBoost, and Gradient Boosting to a real-world dataset, equipping you with the skills to improve predictive accuracy and robustness in your projects.",Free,"
Bagging,Boosting",
MidJourney: From Inspiration to Implementation - Free Course,"This course will provide you with a practical understanding of MidJourney tools. By the end of the course, you will be able to utilize MidJourney effectively and explore alternative tools for your creative projects. You'll learn how to draw inspiration, use MidJourney's features, and understand its applications through engaging lessons.",Free,MidJourney,"Sandeep Singh, Expert Senior Director, Bain & Company"
Understanding Linear Regression - Free Course,"This free course will help you understand the fundamentals of linear regression in a straightforward manner. By the end of this course, you will be able to build predictive models using linear regression techniques. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering linear regression. ",Free,Linear Regression,
The Working of Neural Networks - Free Course,"This free course will help you understand the end-to-end working of neural networks in a simple manner. By the end of this course, you will be able to build advanced Deep Learning models using the PyTorch framework. With a carefully curated list of resources and exercises, this course serves as your comprehensive guide to mastering deep learning. It is recommended that you complete the advanced Machine Learning course before taking up this course.",Free,Understanding the working of Neural Networks,
The A to Z of Unsupervised ML - Free Course,"Unsupervised machine learning helps uncover hidden patterns and structures in data without labeled examples. It is essential for exploratory data analysis, reducing dimensionality, and discovering intrinsic relationships within datasets. Mastering unsupervised techniques enhances data preprocessing and drives insights in complex datasets where labels are scarce or unavailable.",Free,Understanding Unsupervised Machine Learning,
Building Your first RAG System using LlamaIndex - Free Course,"This course will guide you through building your first Retrieval-Augmented Generation (RAG) system using LlamaIndex. You will start with data ingestion by loading a file into the system, followed by indexing the data for efficient retrieval. Next, you will set up retrieval configurations and use a response synthesizer to combine data into a coherent response. Finally, you will employ a query engine to generate responses. By the end of this course, you will have a solid understanding of these processes and be able to build an RAG system using LlamaIndex code effectively.",Free,"
Introduction to RAG systems,
Getting Started with LlamaIndex","Prashant Sahu, Ph.D IIT Bombay; Data Science Manager, Analytics Vidhya"
Data Preprocessing on a Real-World Problem Statement - Free Course,"This course will help you get a practical understanding of Data Preprocessing. After this course, you can work on any data and prepare it for modelling. With a carefully curated list of resources, this course is your first step to becoming a Data Scientist. By the end of the course, you will have mastered techniques like EDA and Missing Value Treatment.",Free,Preparing the Dataset for Machine Learning Model,
Exploring Stability.AI - Free Course,"This course will give you a practical understanding of Stability.AI tools. By the end of the course, you will be able to deploy and customize SD WebUI, and use the Automatic1111 WebUI on RunPod GPU environments. You'll learn to install, set up, generate, and fine-tune SD WebUI settings, equipping you with the skills to harness Stability.AI's full potential for your projects.",Free,Mastering stability.ai and its tools,"Sandeep Singh, Expert Senior Director, Bain & Company"
Building a Text Classification Model with Natural Language Processing - Free Course,"Gain practical insights into Natural Language Processing (NLP) with our comprehensive course. Learn to build NLP models using PyTorch, delve into classification models, and apply techniques like bag-of-words, count vectorizer and so on. Perfect for professionals seeking to enhance their skills and aspiring students entering the tech industry.",Free,"
Introduction to NLP,
Building a basic classification model","Apoorv Vishnoi, Head - Training Vertical, Analytics Vidhya"
Getting Started with Large Language Models,"This course will help you gain a comprehensive understanding of Large Language Models (LLMs) and develop advanced natural language processing (NLP) applications using the PyTorch framework. With a carefully curated list of resources and exercises, this course is your guide to becoming an expert in LLMs. Master the techniques to build and fine-tune LLMs, and generate human-like text.",Free,"
Introduction,The Evolution of NLP,What are Large Language Models?,The Current State of the Art in LLMs,Generative AI - Glossary,Your Feedback Matters!","Kunal Jain, Founder & CEO, Analytics Vidhya"
Introduction to Generative AI,Introduction to Generative AI,Free,"This course will provide you with a comprehensive understanding of generative AI, including text and image generation techniques. By the end of the course, you will be have an understanding of using generative AI tools to create diverse content. You'll learn how generative AI works, engage in practical exercises, and gain the skills to implement these techniques in real-world projects.",
Exploring Natural Language Processing (NLP) using Deep Learning,"Natural Language Processing (NLP) is the hottest field in the data science space right now. The demand for NLP experts and data scientists is through the roof.

We have seen a remarkable rise in the amount of research and breakthroughs in NLP recently. We can trace this recent rise to one (seismic) paper – “Attention is All You Need” by Google AI. This breakthrough has spawned so many new and exciting NLP libraries that enable us to work with text in ways that were previously limited to our imagination (or Hollywood).

These NLP deep learning developments have spawned some mind-boggling applications. We’re sure you’ve already interacted with and used some of them yourself:

    Human-level chatbots (dialogue systems like Google Duplex and Meena)
    Text generation (Machines writing text from scrtach, such as OpenAI’s GPT-2 model)",Free,"Recent Developments in NLP,Language Modeling,Project: Building an Autocomplete System,Sequence-to-Sequence Modeling,Project: Neural Machine Translation,Transformers and Transfer Learning in NLP,Project: Text Classification using Transformers,Project: Build a Dialog System using RASA,Project: Build a Voice Command System",
Getting Started with Deep Learning,"computer vision applications to natural language processing (NLP) use cases - every field is benefitting from use of Deep Learning models.

This course starts by assuming no knowledge about Neural Networks and Deep Learning and introduces these subjects to the student one by one.

The course helps you build a deep as well as intuitive understanding of what is Deep Learning, where can Deep Learning Models be applied and then helps you solve several real life problems using Keras and PyTorch frameworks.",Free,"
Introduction to Deep Learning
2
Getting ready for the course
3
Introduction to the course
4
Introduction to Neural Network
5
Forward and Backward Propagation
6
Activation Functions
7
Optimizers
8
Loss Function
9
NN on structured Data
10
Assignment: Big Mart Sales Prediction
11
Functional API in Keras for Deep Learning
12
Getting started with image data
13
Solving Image Classification Using Keras
14
Assignment: Gender Classification
15
Improving your Deep Learning Model
16
Introduction to Convolutional Neural Network and Implementation
17
Introduction to Transfer Learning
18
CNN Visualization
19
Real World Use Cases of Deep Learning
20
Working with Text Data
21
Getting Started with Recurrent Neural Networks (RNN)
22
Project - Building an Auto-Tagging System

Advanced Sequence Models - LSTM & GRU
24
Assignment: Identify the Sentiments
25
Project - Web Traffic Forecasting
26
Project - Emergency vs Non Emergency Vehicle Sound Classification
27
Assignment: Urban Sound Classification
28
Unsupervised Deep Learning
29
Assignment: Image Denoising
30
Introduction to PyTorch","Kunal Jain, Founder & CEO, Analytics Vidhya"
Nano Course: Dreambooth-Stable Diffusion for Custom Images,"Have you ever wondered how to turn your dreams into reality by creating images of your dog traveling around the world or yourself alongside Elon Musk or playing cricket with MSD?

This is exactly where the dreambooth model comes into the picture. With the help of Dreambooth, you can personalize the stable diffusion for a particular subject.

Given just 5 images of our subject, dreambooth can create new images across diverse scenes, poses, views, and lighting conditions that do not appear in the reference images.

In this free nano course on Dreambooth, Sandeep will discuss the historical journey of stable diffusion, its current landscape, and a brief understanding of the stable diffusion training process. Then we will move on to the dreambooth, its training process and finetune dreambooth on our custom dataset.",Free,Dreambooth-Stable Diffusion for Custom Images,"Sandeep Singh, Head of Applied AI/Computer Vision at Beans.ai"
A Comprehensive Learning Path for Deep Learning in 2023,"

The most common question we get from beginners in the field of Deep Learning is - Where to begin? The journey to becoming a Deep Learning expert can be difficult if one does not have the right resources to follow. There are a million resources to refer and it is tough to decide where to start from.

We are here to help you take your first steps into the world of Deep Learning. Here is a free learning path for people who want to become a Deep Learning expert in 2023. We have arranged the best resources in a logical manner along with exercises to make sure that you only need to follow one single source to become a data scientist.",Free,"
January 2023
2
February 2023
3
March 2023
4
April 2023
5
May 2023
6
June 2023
7
July 2023
8
August 2023
9
September 2023
10
October 2023
11
November 2023
12
December 2023",
Nano Course: Building Large Language Models for Code,"In this Free Nano GenAI Course on Building Large Language Models for Code, you will-

    Learn how to train LLMs for Code from Scratch covering Training Data Curation, Data Preparation, Model Architecture, Training, and Evaluation Frameworks.

    Explore each step in-depth, delving into the algorithms and techniques used to create StarCoder, a 15B code generation model trained on 80+ programming languages.

    Understand and learn the best practices to train your own StarCoder on the data

",Free,Building Large Language Models for Code,"Loubna Ben Allal, ML Engineer at Hugging Face"
Nano Course: Cutting Edge LLM Tricks,"n this free nano GenAI course on Cutting Edge LLM Tricks, you will-

    Learn latest LLM tricks and techniques from top research papers

    Apply the LLM tricks in building State-Art-Of-The-Art (SOTA) LLMs

    Recap of LLM journey, building blocks of LLMs and LLM Stack.
",Free,Cutting Edge LLM Tricks,"Sanyam Bhutani, Senior Data Scientist at H2O.ai"
Machine Learning Summer Training,"

If you are a college student and looking for summer training, then you are at the right place where Analytics Vidhya is providing its virtual training along with the mega hackathon for students all over the world to compete, win grand rewards and internship opportunities.

Machine Learning Summer Training is an online program to build and enhance your programming and machine learning skills, led by the best industry experts and data science professionals. After completing this training you will be provided with a blockchain enabled certificate by Analytics Vidhya with lifetime validity.

This is the perfect starting point to ignite your fledging machine learning career and take a HUGE step towards your dream data scientist role.

If you haven't enrolled in the program already, Don't wait!",Free,"
Overview of the Course
2
Introduction to Data Science and Machine Learning
3
Setting up your system
4
Introduction to Python
5
Variables and Data Types
6
Operators
7
Conditional Statements
8
Looping Constructs
9
Data Structures
10
String Manipulation
11
Functions
12
Modules, Packages and Standard Libraries
13
Handling Text Files in Python
14
Introduction to Python Libraries for Data Science
15
Python Libraries for Data Science
16
Reading Data Files in Python
17
Preprocessing, Subsetting and Modifying Pandas Dataframes
18
Sorting and Aggregating Data in Pandas
19
Visualizing Patterns and Trends in Data
20
Machine Learning Lifecycle
21
Problem statement and Hypothesis Generation
22
Importance of Stats and EDA
23
Build Your First Predictive Model
24
Evaluation Metrics
25
Preprocessing Data
26
Build Your First ML Model: k-NN
27
Selecting the Right Model
28
Linear Models
29
Project: Customer Churn Prediction
30
Decision Tree
31
Feature Engineering
32
Project: NYC Taxi Trip Duration prediction
33
Feedback",
A Comprehensive Learning Path to Become a Data Engineer in 2022,"

Where do I begin? Data Engineering is such a huge field - where do you even start learning about Data Engineering?

These are career-defining questions often asked by data engineering aspirants. There are a million resources out there to refer but the learning journey can be quite exhausting if you don’t know where to start.

Don’t worry, we are here to help you take your first steps into the world of data engineering! Here’s the learning path for people who want to become a data engineer in 2022. We have arranged and compiled all the best resources in a structured manner so that you have a unified resource to become a successful data engineer.

Moreover, we have added the most in-demand skills for the year 2022 for data engineers including storytelling, model deployment, and much more along with exercises and assignments. ",Free,"
Overview of Learning Path 2022
2
January 2022: Learn Programming
3
February 2022: Learn Relational Databases
4
March 2022: Fundamentals of Linux and Cloud Computing
5
April 2022 : NoSQL Databases
6
May 2022: Hadoop Ecosystem
7
June 2022: Data Warehousing",
Writing Powerful Data Science Articles,"

""Either write something worth reading or do something worth writing."" - Benjamin Franklin

The best way to learn any concept, especially in data science, is by writing about it. That not only helps you understand what you learned in more detail, but sharing it with the community helps others understand how a particular data science idea works.

But here’s the thing - most people want to write, but just can’t get past the initial challenges. This might sound familiar to a lot of people:

    What should I write about?
    Will anyone read my article?
    How do I make my article stand out?
    Should I even write?


If you’ve ever asked yourself these questions, you’ll find the answers in this free crash course on how to write impactful and awesome data science articles!",Free,"
Welcome to the Data Science Writing Crash Course!
2
Crash Course - How to Write Powerful Data Science Articles
3
Expert Talk: Writing Powerful Data Science Articles with Parul Pandey
4
Next Steps…",
Machine Learning Certification Course for Beginners,"In this free machine learning certification course, you will learn Python, the basics of machine learning, how to build machine learning models, and feature engineering techniques to improve the performance of your machine learning models. ",Free,"
Overview of the Course
2
Introduction to Data Science and Machine Learning
3
Setting up your system
4
Introduction to Python
5
Variables and Data Types
6
Operators
7
Conditional Statements
8
Looping Constructs
9
Data Structures
10
String Manipulation
11
Functions
12
Modules, Packages and Standard Libraries
13
Handling Text Files in Python
14
Introduction to Python Libraries for Data Science
15
Python Libraries for Data Science
16
Reading Data Files in Python
17
Preprocessing, Subsetting and Modifying Pandas Dataframes
18
Sorting and Aggregating Data in Pandas
19
Visualizing Patterns and Trends in Data
20
Machine Learning Lifecycle
21
Problem statement and Hypothesis Generation
22
Importance of Stats and EDA
23
Build Your First Predictive Model
24
Evaluation Metrics
25
Preprocessing Data
26
Build Your First ML Model: k-NN
27
Selecting the Right Model
28
Linear Models
29
Project: Customer Churn Prediction
30
Decision Tree
31
Feature Engineering
32
Project: NYC Taxi Trip Duration prediction","Kunal Jain, Founder & CEO, Analytics Vidhya"
Data Science Career Conclave - Transition to Data Science!,Here’s the perfect course to help you get all your data science career queries answered. Top data science experts expound on what they look for in a data science professional and how you can build those skills.,Free,Career Conclave,
Top Data Science Projects for Analysts and Data Scientists,"Kick-start your career in data science with our data science courses and projects including learning on projects covering machine learning, computer vision, deep learning, natural language processing, reinforcement learning & data engineering.",Free,"
Welcome to the course!
2
Machine Learning Projects
3
Deep Learning Projects
4
Computer Vision Projects
5
Natural Language Processing (NLP) Projects
6
Reinforcement Learning Projects
7
Data Engineering Projects
8
Other Data Science Projects",
Getting Started with Git and GitHub for Data Science Professionals,Upskill your data science acumen with Analytics Vidhya's Github course for data scientists that empowers you with learning the value and the ins and out’s of Git and GitHub and using Git and GitHub to make your data science projects easier to track.,Free,"
Getting Familiar with Git and Github
2
Understand Git Terminology
3
Get Started with Git
4
Going Remote - Get started with Github
5
What's next?",
Machine Learning Starter Program,Step-by-step online program to learn the basics of Machine Learning with focus on concepts as well as practical problem solving. Ideal for beginners who want to start their journey in Machine Learning.,Free,"Help you understand how this field is transforming and disrupting industries

Understand machine learning algorithms and apply them to solve real world problems

Enhance and complement your learning through real life projects

We believe in a holistic learning approach and that's how we've curated the Machine Learning Starter Program",
"Data Science Hacks, Tips and Tricks","Learn key data science hacks, tips and tricks to become a better and more efficient data scientist. These data science hacks cover a wide range of data science topics like speeding up Python code, optimizing your data science algorithm and much more!",Free,"
Introduction to Data Science Hacks, Tips and Tricks Course
2
Data Science Hack #1 - Resource Downloader
3
Data Science Hack #2 - Pandas Apply
4
Data Science Hack #3 - how to extract email addresses from text?
5
Data Science Hack #4 - Pandas Boolean Indexing
6
Data Science Hack #5 - Pandas Pivot Table
7
Data Science Hack #6 - Splitting a String in Python
8
Data Science Hack #7 - Transforming distributions to Normal Distributions
9
Data Science Hack #8 - Remove Emojis from text
10
Data Science Hack #9 - Elbow method for kNN classifier
11
Data Science Hack #10 - Pandas crosstab for quick exploratory analysis
12
Data Science Hack #11 - Scaling features using MinMax Scaler
13
Data Science Hack #12 - Feature Engineering for Date Time Features
14
Data Science Hack #13 - Creating dummy test data using sklearn
15
Data Science Hack #14 - Image Augmentation to increase size of Training data
16
Data Science Hack #15 - Fast Tokenization using Hugging Face
17
Data Science Hack #16 - Stratified sampling using sklearn
18
Data Science Hack #17 - Reading html files using Pandas read_html
19
Data Science Hack #18 - Extract different data types into different dataframes
20
Data Science Hack #19 - Pandas profiling for quick exploratory analysis
21
Data Science Hack #20 - Change wide form dataframe to Long form dataframe
22
Data Science Hack #21 - Magic functions in Jupyter notebooks
23
Data Science Hack #22 - Set Jupyter theme
24
Data Science Hack #23 Change Cell width in Jupyter notebook
25
Data Science Hack #24 - Change Datatype to datetime
26
Data Science Hack #25 - Sharing jupyter notebook
27
Data Science Hack #26 - Visualize Decision Tree
28
Data Science Hack #27 - Invert Dictionary in Python
29
Data Science Hack #28 Visualize Interactive plot
30
Data Science Hack #29 - Write python file directly from jupyter notebook cell
31
Data Science Hack #31 Feature Selection
32
Data Science Hack #32 Convert string into characters
33
Data Science Hack #33 Apply pandas in parallel
34
Data Science Hack #34 Convert Date format
35
Data Science Hack #35 Make images of same size
36
Data Science Hack #36 Regex testing and debugging",
Introduction to Business Analytics,Business analytics is thriving – and so is its role in forward-thinking organizations around the world. The demand for business analytics professionals is growing multifold - and now is the time to start working towards your desired career.,Free,"
What is Business Analytics?
2
Spectrum of Business Analytics
3
Skills Required for Business Analytics and Roadmap of Business Analytics Program
4
Case study: Ezine Publishing
5
Your Feedback Matters!","Kunal Jain, Founder & CEO, Analytics Vidhya"
Introduction to PyTorch for Deep Learning,PyTorch is a popular and leading deep learning framework. But what exactly is PyTorch? How does PyTorch work? How can you use PyTorch to build deep learning models? This PyTorch tutorial course will help you answer these questions in detail.,Free,"
What is PyTorch?
2
Neural Networks
3
Implementing a Neural Network in Pytorch
4
Deep Learning on Pytorch",
Introduction to Natural Language Processing,"Natural Language Processing (NLP) is the art of extracting information from unstructured text. This course teaches you basics of NLP, Regular Expressions and Text Preprocessing.",Free,"
Module 1 : Introduction to Natural Language Processing
2
Module 2: Learn to use Regular Expressions
3
Module 3: First Step of NLP - Text Processing
4
Module 4: NLP Certification Exam
5
Module 5: Where to go from here?",
Getting started with Decision Trees,Decision Tree algorithm is one of the most powerful algorithm in Machine Learning. Decision trees are used by beginners/ experts to build machine learning models. This course provides you everything about Decision Trees & their Python implementation.,Free,Getting Started with Decision Tree,
Introduction to Python,"Power up your career with the best and most popular data science language, Python. Leverage your Python skills to start your Data Science journey. This course is intended for beginners with no coding or Data Science background.",Free,"
Overview of the Course
2
Introduction to Python
3
Understanding Operators
4
Variables and Data Types
5
Conditional Statements
6
Looping Constructs
7
Functions
8
Data Structure
9
Lists
10
Dictionaries
11
Understanding Standard Libraries in Python
12
Reading a CSV File in Python
13
Data Frames and basic operations with Data Frames
14
Indexing a Data Frame
15
Data Manipulation and Visualization
16
Regular Expressions
17
Cheatsheet for Python
18
Evaluate
19
Feedback
20
Where to go from here?",
Loan Prediction Practice Problem (Using Python),This course is aimed for people getting started into Data Science and Machine Learning while working on a real life practical problem.,Free,Loan Prediction : Practice Problem,
Big Mart Sales Prediction Using R,This course is aimed for people getting started into Data Science and Machine Learning while solving the Big Mart Sales Prediction problem.,Free,Big Mart Sales,
Twitter Sentiment Analysis,What is sentiment analysis? Why is sentiment analysis so popular in data science? And how can you perform sentiment analysis? Find the answers to all these questions in this free course on Sentiment Analysis using Python!,Free,Twitter Sentiment Analysis (Using Python),
Pandas for Data Analysis in Python,What is Pandas? How can you perform data analysis and data manipulation using Pandas in Python? Learn how to work with Pandas in this superb free course and master the most popular Python library in data science.,Free,"
Getting Started with Pandas
2
Dataset Description
3
Read & Write Data using Pandas
4
Pandas Dataframes
5
Data Exploration using Pandas
6
Data Manipulation using Pandas
7
Aggregating data using Pandas
8
Merging Data using Pandas
9
Pandas Cheatsheet",
Support Vector Machine (SVM) in Python and R,What is a Support Vector Machine (SVM) in machine learning? How does an SVM classifier work? How you can design an SVM classifier in Python and R? Learn all about Support Vector Machines (SVM) in this free course for data scientists!,Free,"
Introduction to Support Vector Machines
2
How does SVM work?
3
SVM Kernels and Hyperparameters
4
Implementing SVM in Python
5
Implementing SVM in R
6
Challenges of SVM",
Evaluation Metrics for Machine Learning Models,What are evaluation metrics in machine learning? What are the different types of evaluation metrics? How do you gauge and improve your machine learning model? This course will teach you all about evaluation metrics for machine learning models!,Free,"
Introduction
2
Evaluation Metrics: Classification
3
Evaluation Metrics: Regression
4
What Next?",
Fundamentals of Regression Analysis,"What is regression analysis? What are the different types of regression? What’s the difference between linear regression, logistic regression, ridge and lasso regression? This course on fundamentals of regression analysis will clear all your doubts!",Free,"
Welcome to the course!
2
Introduction to Regression
3
Types of Regression
4
Linear Regression
5
Logistic Regression
6
Ridge Regression
7
Lasso Regression
8
Selecting the Right Model
9
What next?",
Getting Started with scikit-learn (sklearn) for Machine Learning,Scikit-learn (Sklearn) - the powerful Python library for machine learning. But what is sklearn? How does sklearn work? What kind of ML models can you build using sklearn? Find out in this course and build sklearn models!,Free,"
Welcome to the course!
2
scikit-learn in Python
3
Use of Scikit-learn in Data Science Life Cycle
4
Use of Scikit-Learn in Model Building
5
Machine Learning pipeline using scikit-learn!
6
Next Steps…",
Convolutional Neural Networks (CNN) from Scratch,"Convolutional neural networks, or CNNs, have taken the deep learning community by storm. These CNN models power deep learning applications like object detection, image segmentation, facial recognition, etc. Learn all about CNN in this course.",Free,"
Introduction to Neural Networks
2
Introduction to CNNs
3
Architecture of a CNN
4
Mathematics behind CNNs
5
Implementing a CNN
6
What Next?",
Dimensionality Reduction for Machine Learning,"Dimensionality reduction is a key concept in machine learning. This course covers several dimensionality reduction techniques that every data scientist should know, including Principal Component Analysis (PCA) and Factor Analysis, among others!",Free,"ntroduction to the Course
2
Introduction to Dimensionality Reduction
3
Feature Selection Techniques
4
Factor Based Feature Extraction Techniques
5
Projection Based Feature Extraction Techniques",
K-Nearest Neighbors (KNN) Algorithm in Python and R,"A practical hands-on tutorial on the K-Nearest Neighbor (KNN) algorithm in both Python and R. This course covers everything you want to learn about KNN, including understanding how the KNN algorithm works and how to implement it.",Free,"
Introduction
2
K-NEAREST NEIGHBOUR
3
Steps to Build a K-NEAREST NEIGHBOUR Model
4
Implementation in Python and R
5
What's Next?",
Ensemble Learning and Ensemble Learning Techniques,Ensemble learning is a powerful machine learning technique every data scientist should know. But what is ensemble learning? How does ensemble learning work? This course is the perfect starting point to learn all about ensemble learning.,Free,"
Introduction
2
Basic Ensemble Learning Techniques
3
Advanced Ensemble Learning Techniques
4
Advanced Ensemble Learning: Bagging
5
Advanced Ensemble Learning: Boosting
6
What next?",
Linear Programming for Data Science Professionals,"The Linear Programming for Data Science Professionals’ course will guide you on how to get started with linear programming (LP), the different components of LP, and how to solve linear programming problems using Excel, R and more!",Free,"
Introduction to Linear Programming
2
Introduction
3
Tools to Solving Linear Programming Problems
4
Methods to Solve Linear Programing Problems
5
Applications of Linear Programming
6
Conclusion",
Naive Bayes from Scratch,"Naive Bayes is a popular and widely used machine learning algorithm for classification problems. Learn what is Naive Bayes, how a Naive Bayes classifier works, and implement Naive Bayes yourself in this course! ",Free,"
Probability
2
The Naive Bayes Algorithm
3
What Next?",
